dat;M_max;Overflow penalty;Time variable serv time;GAP variable serv time;Overflow variable serv time;Dist variable serv time;Obj variable serv time;% Collected variable serv time;Avg Visit variable serv time;Time constant service time;GAP constant service time;Overflow constant service time;Dist constant service time;Obj constant service time;% Collected constant service time;Avg Visit constant service time;Does the route change?
abs1n5,dat;1;50;0,1;0,00%;4;1855,57;2055,57;79,50%;1,25;0,04;0,00%;4;1855,57;2055,57;79,50%;1,25;No
abs1n5,dat;1;30;0,03;0,00%;4;1855,57;1975,57;79,50%;1,25;0,05;0,00%;4;1855,57;1975,57;79,50%;1,25;No
abs1n5,dat;1;10;0,05;0,00%;87;910,92;1780,92;84,44%;0,75;0,04;0,00%;87;910,92;1780,92;84,44%;0,75;No
abs1n5,dat;2;50;0,51;0,00%;4;3041,58;3241,58;83,50%;1,25;0,39;0,00%;4;3041,58;3241,58;83,50%;1,25;No
abs1n5,dat;2;30;0,51;0,00%;4;3041,58;3161,58;83,50%;1,25;0,46;0,00%;4;3041,58;3161,58;83,50%;1,25;No
abs1n5,dat;2;10;0,2;0,00%;64;1753,63;2393,63;49,33%;1,25;0,29;0,00%;64;1753,63;2393,63;49,33%;1,25;No
abs2n5,dat;1;50;0,07;0,00%;0;1370,79;1370,79;86,25%;1;0,04;0,00%;0;1370,79;1370,79;86,25%;1;No
abs2n5,dat;1;30;0,03;0,00%;0;1370,79;1370,79;86,25%;1;0,05;0,00%;0;1370,79;1370,79;86,25%;1;No
abs2n5,dat;1;10;0,03;0,00%;44;773,91;1213,91;67,22%;0,75;0,02;0,00%;44;773,91;1213,91;67,22%;0,75;No
abs2n5,dat;2;50;0,3;0,00%;5;2103,67;2353,67;46,11%;1,5;0,3;0,00%;5;2103,67;2353,67;46,11%;1,5;No
abs2n5,dat;2;30;0,3;0,00%;5;2103,67;2253,67;46,11%;1,5;0,35;0,00%;5;2103,67;2253,67;46,11%;1,5;No
abs2n5,dat;2;10;0,23;0,00%;98;773,91;1753,91;33,06%;0,75;0,22;0,00%;98;773,91;1753,91;33,06%;0,75;No
abs3n5,dat;1;50;0,08;0,00%;5;3790,6;4040,6;60,56%;2,25;0,09;0,00%;5;3790,6;4040,6;60,56%;2,25;No
abs3n5,dat;1;30;0,13;0,00%;26;2914,41;3694,41;68,81%;1,75;0,05;0,00%;34;2441,79;3461,79;77,86%;1,75;Yes
abs3n5,dat;1;10;0,08;0,00%;186;983,36;2843,36;90,00%;0,75;0,08;0,00%;34;2441,79;2781,79;77,86%;1,75;Yes
abs3n5,dat;2;50;0,37;0,00%;6;4658,48;4958,48;60,56%;2,25;0,31;0,00%;6;4658,48;4958,48;60,56%;2,25;No
abs3n5,dat;2;30;0,53;0,00%;6;4658,48;4838,48;60,56%;2,25;0,42;0,00%;6;4658,48;4838,48;60,56%;2,25;No
abs3n5,dat;2;10;0,29;0,00%;180;1966,72;3766,72;45,00%;1,5;0,3;0,00%;180;1966,72;3766,72;45,00%;1,5;No
abs4n5,dat;1;50;0,1;0,00%;7;2337,74;2687,74;66,11%;2,25;0,08;0,00%;7;2337,74;2687,74;66,11%;2,25;No
abs4n5,dat;1;30;0,1;0,00%;7;2337,74;2547,74;66,11%;2,25;0,08;0,00%;7;2337,74;2547,74;66,11%;2,25;No
abs4n5,dat;1;10;0,14;0,00%;36;1872,36;2232,36;85,00%;1,75;0,03;0,00%;45;1547,58;1997,58;85,00%;1,75;Yes
abs4n5,dat;2;50;0,36;0,00%;7;2722,01;3072,01;66,11%;2,25;0,25;0,00%;7;2722,01;3072,01;66,11%;2,25;No
abs4n5,dat;2;30;0,28;0,00%;7;2722,01;2932,01;66,11%;2,25;0,35;0,00%;7;2722,01;2932,01;66,11%;2,25;No
abs4n5,dat;2;10;0,4;0,00%;46;2310,53;2770,53;67,50%;2;0,54;0,00%;46;2310,53;2770,53;67,50%;2;No
abs5n5,dat;1;50;0,03;0,00%;2;1369,58;1469,58;83,00%;1,25;0,04;0,00%;2;1369,58;1469,58;83,00%;1,25;No
abs5n5,dat;1;30;0,05;0,00%;2;1369,58;1429,58;78,00%;1,25;0,04;0,00%;2;1369,58;1429,58;83,00%;1,25;No
abs5n5,dat;1;10;0,05;0,00%;2;1369,58;1389,58;78,00%;1,25;0,06;0,00%;2;1369,58;1389,58;78,00%;1,25;No
abs5n5,dat;2;50;0,37;0,00%;2;2137,91;2237,91;60,83%;1,5;0,39;0,00%;2;2137,91;2237,91;60,83%;1,5;No
abs5n5,dat;2;30;0,37;0,00%;2;2137,91;2197,91;65,83%;1,5;0,34;0,00%;2;2137,91;2197,91;60,83%;1,5;No
abs5n5,dat;2;10;0,3;0,00%;96;969,14;1929,14;78,89%;0,75;0,29;0,00%;96;969,14;1929,14;78,89%;0,75;No
abs1n10,dat;1;50;0,25;0,00%;20;2350,63;3350,63;81,13%;1,56;0,56;0,00%;20;2350,63;3350,63;81,13%;1,56;No
abs1n10,dat;1;30;0,25;0,00%;20;2350,63;2950,63;81,13%;1,56;0,3;0,00%;20;2350,63;2950,63;81,13%;1,56;No
abs1n10,dat;1;10;0,22;0,00%;20;2350,63;2550,63;81,13%;1,56;0,24;0,00%;20;2350,63;2550,63;81,13%;1,56;No
abs1n10,dat;2;50;12,35;0,00%;11;3642,64;4192,64;61,44%;2;16,77;0,00%;11;3642,64;4192,64;61,44%;2;No
abs1n10,dat;2;30;19,25;0,00%;19;3359,47;3929,47;71,44%;1,67;16,63;0,00%;19;3359,47;3929,47;71,44%;1,67;No
abs1n10,dat;2;10;23,92;0,00%;19;3359,47;3549,47;71,44%;1,67;19,58;0,00%;19;3359,47;3549,47;71,44%;1,67;No
