dat;M_max;Overflow penalty;Overflow with variable serv time;Dist with variable serv time;Obj with variable serv time;Overflow with constant serv time;Dist with constant serv time;Obj with constant serv time;Does the route change?
abs1n5,dat;1;50;5;3885,87;4135,8720;5;3885,87;4135,8720;No
abs1n5,dat;1;30;5;3885,87;4035,8720;5;3885,87;4035,8720;No
abs1n5,dat;1;10;73;2766,48;3496,4830;73;2766,48;3496,4830;No
abs1n5,dat;2;50;7;5841,65;6191,6480;7;5841,65;6191,6510;Yes
abs1n5,dat;2;30;27;5076,42;5886,4210;27;5076,42;5886,4210;No
abs1n5,dat;2;10;106;4020,87;5080,8700;106;4020,87;5080,8700;No
abs2n5,dat;1;50;3;3067,12;3217,1210;3;3067,12;3217,1210;No
abs2n5,dat;1;30;10;2741,59;3041,5870;10;2741,59;3041,5870;No
abs2n5,dat;1;10;53;2144,70;2674,7020;53;2144,70;2674,7020;No
abs2n5,dat;2;50;5;4579,42;4829,4190;5;4579,42;4829,4190;No
abs2n5,dat;2;30;5;4579,42;4729,4190;5;4579,42;4729,4190;No
abs2n5,dat;2;10;48;3726,96;4206,9620;48;3726,96;4206,9620;No
abs3n5,dat;1;50;17;4375,30;5225,2990;17;4375,30;5225,2990;No
abs3n5,dat;1;30;17;4375,30;4885,2990;17;4375,30;4885,2990;No
abs3n5,dat;1;10;17;4375,30;4545,2990;17;4375,30;4545,2990;No
abs3n5,dat;2;50;14;6956,23;7656,2290;14;6956,23;7656,2290;No
abs3n5,dat;2;30;14;6956,23;7376,2290;14;6956,23;7376,2290;No
abs3n5,dat;2;10;91;5644,29;6554,2920;91;5644,29;6554,2920;No
abs4n5,dat;1;50;11;4311,78;4861,7760;11;4311,78;4861,7760;No
abs4n5,dat;1;30;21;3881,46;4511,4610;21;3881,46;4511,4610;No
abs4n5,dat;1;10;62;3369,80;3989,8040;83;3095,15;3925,1510;Yes
abs4n5,dat;2;50;13;5310,28;5960,2750;13;5310,28;5960,2750;No
abs4n5,dat;2;30;18;5112,90;5652,8960;18;5112,90;5652,8960;No
abs4n5,dat;2;10;18;5112,90;5292,8960;18;5112,90;5292,8960;No
abs5n5,dat;1;50;10;2755,72;3255,7200;10;2755,72;3255,7200;No
abs5n5,dat;1;30;10;2755,72;3055,7200;10;2755,72;3055,7200;No
abs5n5,dat;1;10;10;2755,72;2855,7200;10;2755,72;2855,7200;No
abs5n5,dat;2;50;1;4651,37;4701,3660;1;4651,37;4701,3670;Yes
abs5n5,dat;2;30;1;4651,37;4681,3670;1;4651,37;4681,3670;No
