dat;n;p;M_max;Q;Overflow penalty;Time;Obj;GAP;Overflow;Dist;Route Time;% Collected;Avg Visit;Route;Nodes
abs1n5,dat;4;5;1;119;50;0,1;2055,565;0,00%;4;1855,57;[[0], [2,43], [2,46], [0], [0]];79,50%;1,25;[[], [[0, 3, 1, 2, 5, 0]], [[0, 3, 4, 5, 0]], [], []];1
abs1n5,dat;4;5;1;119;30;0,03;1975,565;0,00%;4;1855,57;[[0], [2,43], [2,46], [0], [0]];79,50%;1,25;[[], [[0, 3, 1, 2, 5, 0]], [[0, 3, 4, 5, 0]], [], []];1
abs1n5,dat;4;5;1;119;10;0,05;1780,918;0,00%;87;910,92;[[0], [2,43], [0], [0], [0]];84,44%;0,75;[[], [[0, 3, 1, 2, 5, 0]], [], [], []];1
abs1n5,dat;4;5;2;60;50;0,51;3241,575;0,00%;4;3041,58;[[0, 0], [2,25, 1,73], [2,36, 1,74], [0, 0], [0, 0]];83,50%;1,25;[[], [[0, 2, 5, 0], [0, 3, 5, 0]], [[0, 4, 5, 0], [0, 3, 1, 5, 0]], [], []];416
abs1n5,dat;4;5;2;60;30;0,51;3161,575;0,00%;4;3041,58;[[0, 0], [1,73, 2,25], [2,36, 1,74], [0, 0], [0, 0]];83,50%;1,25;[[], [[0, 3, 5, 0], [0, 2, 5, 0]], [[0, 4, 5, 0], [0, 3, 1, 5, 0]], [], []];585
abs1n5,dat;4;5;2;60;10;0,2;2393,63;0,00%;64;1753,63;[[0, 2,91], [0, 1,74], [0, 0], [0, 0], [0, 0]];49,33%;1,25;[[[0, 3, 4, 2, 5, 0]], [[0, 3, 1, 5, 0]], [], [], []];10
abs2n5,dat;4;5;1;109;50;0,07;1370,794;0,00%;0;1370,79;[[0], [2,88], [1,86], [0], [0]];86,25%;1;[[], [[0, 1, 2, 5, 0]], [[0, 3, 4, 5, 0]], [], []];1
abs2n5,dat;4;5;1;109;30;0,03;1370,794;0,00%;0;1370,79;[[0], [2,88], [1,86], [0], [0]];86,25%;1;[[], [[0, 1, 2, 5, 0]], [[0, 3, 4, 5, 0]], [], []];1
abs2n5,dat;4;5;1;109;10;0,03;1213,908;0,00%;44;773,91;[[0], [2,69], [0], [0], [0]];67,22%;0,75;[[], [[0, 3, 4, 2, 5, 0]], [], [], []];1
abs2n5,dat;4;5;2;55;50;0,3;2353,665;0,00%;5;2103,67;[[0, 2,51], [2,88, 1,86], [0, 0], [0, 0], [0, 0]];46,11%;1,5;[[[0, 3, 2, 5, 0]], [[0, 1, 2, 5, 0], [0, 3, 4, 5, 0]], [], [], []];188
abs2n5,dat;4;5;2;55;30;0,3;2253,665;0,00%;5;2103,67;[[2,51, 0], [2,88, 1,86], [0, 0], [0, 0], [0, 0]];46,11%;1,5;[[[0, 3, 2, 5, 0]], [[0, 1, 2, 5, 0], [0, 3, 4, 5, 0]], [], [], []];145
abs2n5,dat;4;5;2;55;10;0,23;1753,908;0,00%;98;773,91;[[2,69, 0], [0, 0], [0, 0], [0, 0], [0, 0]];33,06%;0,75;[[[0, 3, 4, 2, 5, 0]], [], [], [], []];1
abs3n5,dat;4;5;1;144;50;0,08;4040,604;0,00%;5;3790,6;[[3,11], [1,95], [3,16], [0], [0]];60,56%;2,25;[[[0, 3, 2, 1, 5, 0]], [[0, 3, 2, 5, 0]], [[0, 3, 2, 1, 4, 5, 0]], [], []];1
abs3n5,dat;4;5;1;144;30;0,13;3694,413;0,00%;26;2914,41;[[3,16], [0], [3,11], [0], [0]];68,81%;1,75;[[[0, 3, 2, 1, 4, 5, 0]], [], [[0, 3, 2, 1, 5, 0]], [], []];21
abs3n5,dat;4;5;1;144;10;0,08;2843,36;0,00%;186;983,36;[[0], [2,4], [0], [0], [0]];90,00%;0,75;[[], [[0, 3, 2, 4, 5, 0]], [], [], []];1
abs3n5,dat;4;5;2;72;50;0,37;4958,479;0,00%;6;4658,48;[[3,11, 0], [2,08, 0], [1,95, 2,92], [0, 0], [0, 0]];60,56%;2,25;[[[0, 3, 2, 1, 5, 0]], [[0, 2, 4, 5, 0]], [[0, 3, 2, 5, 0], [0, 1, 4, 5, 0]], [], []];194
abs3n5,dat;4;5;2;72;30;0,53;4838,479;0,00%;6;4658,48;[[0, 3,11], [0, 2,08], [1,95, 2,92], [0, 0], [0, 0]];60,56%;2,25;[[[0, 3, 2, 1, 5, 0]], [[0, 2, 4, 5, 0]], [[0, 3, 2, 5, 0], [0, 1, 4, 5, 0]], [], []];513
abs3n5,dat;4;5;2;72;10;0,29;3766,72;0,00%;180;1966,72;[[2,2, 0], [2,2, 0], [0, 0], [0, 0], [0, 0]];45,00%;1,5;[[[0, 3, 2, 4, 5, 0]], [[0, 3, 2, 4, 5, 0]], [], [], []];90
abs4n5,dat;4;5;1;163;50;0,1;2687,74;0,00%;7;2337,74;[[2,01], [2,46], [2,97], [0], [0]];66,11%;2,25;[[[0, 3, 2, 1, 5, 0]], [[0, 3, 4, 5, 0]], [[0, 3, 2, 1, 4, 5, 0]], [], []];1
abs4n5,dat;4;5;1;163;30;0,1;2547,74;0,00%;7;2337,74;[[2,01], [2,46], [2,97], [0], [0]];66,11%;2,25;[[[0, 3, 2, 1, 5, 0]], [[0, 3, 4, 5, 0]], [[0, 3, 2, 1, 4, 5, 0]], [], []];1
